# Generation 1: F, G, CV
1.161733991523039924e-02 -1.837831220380927721e-01 -2.349059211495550803e-02 -6.039061546325683594e-01 0.000000000000000000e+00
1.099746006198270079e-02 5.046998949429160053e-02 -2.868069028512176821e-02 -5.939408540725708008e-01 5.046998949429160053e-02
1.466516380546209995e-02 -1.818183547380251008e-01 -2.765932668908130387e-02 -6.031987667083740234e-01 0.000000000000000000e+00
1.819419992082500076e-02 -1.839620658689183896e-01 -2.744402094652774460e-02 -6.084794998168945312e-01 0.000000000000000000e+00
1.789636687521789851e-02 2.818020396459308685e-02 -2.316981305549974113e-02 -6.056493520736694336e-01 2.818020396459308685e-02
1.106388439676550019e-02 7.096960382559852620e-02 -2.270559512116164524e-02 -6.091659069061279297e-01 7.096960382559852620e-02
1.360761318743770008e-02 -2.028538464340093883e-01 -2.341177735641776503e-02 -6.243263483047485352e-01 0.000000000000000000e+00
2.361351424193590051e-02 1.365982938039134176e-04 -2.336363142807075521e-02 -6.056904792785644531e-01 1.365982938039134176e-04
1.885456968054019869e-02 -1.735096582821311628e-01 -2.339808118343957022e-02 -6.265311241149902344e-01 0.000000000000000000e+00
1.072949290835720042e-02 6.922720937656390294e-03 -2.952724734153260033e-02 -6.194278001785278320e-01 6.922720937656390294e-03
2.855476104033100038e-02 -3.860314384506895458e-01 -2.179964480324506071e-02 -3.097374737262725830e-01 0.000000000000000000e+00
